siren,date_jugement,nature_jugement
304275456,2019-04-24,Jugement d'ouverture d'une procédure de redressement judiciaire
304295579,2017-01-12,Jugement d'ouverture de liquidation judiciaire
304317472,2017-04-26,Jugement d'ouverture d'une procédure de redressement judiciaire
304349673,2019-09-30,Jugement d'ouverture d'une procédure de sauvegarde
304369010,2020-02-27,Jugement d'ouverture d'une procédure de redressement judiciaire
304369051,2018-10-16,Jugement d'ouverture de liquidation judiciaire
304369051,2018-11-19,Jugement d'ouverture de liquidation judiciaire
304375900,2017-02-10,Jugement d'ouverture de liquidation judiciaire
304386568,2017-03-14,Jugement d'ouverture d'une procédure de redressement judiciaire
304388895,2021-11-08,Jugement d'ouverture de liquidation judiciaire
304395940,2021-06-02,Jugement d'ouverture de liquidation judiciaire
304397300,2017-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
304424294,2020-06-23,Jugement d'ouverture d'une procédure de redressement judiciaire
304425523,2019-12-18,Jugement d'ouverture d'une procédure de sauvegarde
304428840,2017-08-30,Jugement d'ouverture d'une procédure de redressement judiciaire
304430234,2018-05-29,Jugement d'ouverture de liquidation judiciaire
304450216,2021-03-16,Jugement d'ouverture de liquidation judiciaire
304454101,2021-04-07,Jugement d'ouverture de liquidation judiciaire
304485337,2017-10-03,Jugement d'ouverture de liquidation judiciaire
304516958,2021-12-15,Jugement d'ouverture de liquidation judiciaire
304538549,2020-02-27,Jugement d'ouverture d'une procédure de redressement judiciaire
304538820,2020-09-24,Jugement d'ouverture de liquidation judiciaire
